Urutan,NAMA,ID TIANG/GARDU,NAMA TIANG/GARDU,KEYPOINT,LATITUDE,LONGITUDE
198,ANGKLUNG,17TG0125002090,F.ANGKLUNG.000279,FCO PU026 KRAWANG,-5.40862,104.96898
199,ANGKLUNG,17TG0125002091,F.ANGKLUNG.000280,FCO PU026 KRAWANG,-5.40824,104.96930
200,ANGKLUNG,17TG0125002092,F.ANGKLUNG.000281,FCO PU026 KRAWANG,-5.40791,104.96957
201,ANGKLUNG,17TG0125002093,F.ANGKLUNG.000282,FCO PU026 KRAWANG,-5.40765,104.96986
202,ANGKLUNG,17TG0125002094,F.ANGKLUNG.000283,FCO PU026 KRAWANG,-5.40727,104.96996
203,ANGKLUNG,17TG0125002095,F.ANGKLUNG.000284,FCO PU026 KRAWANG,-5.40728,104.97043
204,ANGKLUNG,17TG0125002096,F.ANGKLUNG.000285,FCO PU026 KRAWANG,-5.40731,104.97094
205,ANGKLUNG,17TG01L1015186,F.ANGKLUNG.000675,FCO PU026 KRAWANG,-5.40740,104.97042
206,ANGKLUNG,17TG0125002171,F.ANGKLUNG.000360,FCO PU177,-5.41057,104.91247
207,ANGKLUNG,17TG0125002172,F.ANGKLUNG.000361,FCO PU177,-5.41002,104.91241
208,ANGKLUNG,17TG0125002173,F.ANGKLUNG.000362,FCO PU177,-5.40952,104.91244
209,ANGKLUNG,17TG0125002174,F.ANGKLUNG.000363,FCO PU177,-5.40897,104.91249
210,ANGKLUNG,17TG0125002175,F.ANGKLUNG.000364,FCO PU177,-5.40845,104.91256
211,ANGKLUNG,17TG0125002176,F.ANGKLUNG.000365,FCO PU177,-5.40795,104.91257
212,ANGKLUNG,17TG0125002177,F.ANGKLUNG.000366,FCO PU177,-5.40739,104.91256
213,ANGKLUNG,17TG0125002178,F.ANGKLUNG.000367,FCO PU177,-5.40690,104.91245
214,ANGKLUNG,17TG0125002179,F.ANGKLUNG.000368,FCO PU177,-5.40642,104.91219
215,ANGKLUNG,17TG0125002180,F.ANGKLUNG.000369,FCO PU177,-5.40595,104.91194
216,ANGKLUNG,17TG0125002181,F.ANGKLUNG.000370,FCO PU177,-5.40543,104.91179
217,ANGKLUNG,17TG0125002182,F.ANGKLUNG.000371,FCO PU177,-5.40489,104.91168
218,ANGKLUNG,17TG0125002183,F.ANGKLUNG.000372,FCO PU177,-5.40437,104.91182
219,ANGKLUNG,17TG0125002184,F.ANGKLUNG.000373,FCO PU177,-5.40381,104.91192
220,ANGKLUNG,17TG0125002185,F.ANGKLUNG.000374,FCO PU177,-5.40363,104.91146
221,ANGKLUNG,17TG0125002186,F.ANGKLUNG.000375,FCO PU177,-5.40343,104.91096
222,ANGKLUNG,17TG0125002187,F.ANGKLUNG.000376,FCO PU177,-5.40323,104.91044
223,ANGKLUNG,17TG01L1015182,F.ANGKLUNG.000671,FCO PU177,-5.41405,104.90822
224,ANGKLUNG,17TG01L1015183,F.ANGKLUNG.000672,FCO PU177,-5.41405,104.90779
225,ANGKLUNG,17TG01L1015184,F.ANGKLUNG.000673,FCO PU177,-5.41406,104.90737
226,ANGKLUNG,17TG01L1015185,F.ANGKLUNG.000674,FCO PU177,-5.41409,104.90707
227,ANGKLUNG,17TG01L1015192,F.ANGKLUNG.000654,FCO PU177,-5.41047,104.91200
228,ANGKLUNG,17TG01L1015193,F.ANGKLUNG.000655,FCO PU177,-5.41071,104.91193
229,ANGKLUNG,17TG01L1015194,F.ANGKLUNG.000656,FCO PU177,-5.41116,104.91190
230,ANGKLUNG,17TG01L1015195,F.ANGKLUNG.000657,FCO PU177,-5.41152,104.91186
231,ANGKLUNG,17TG01L1015196,F.ANGKLUNG.000658,FCO PU177,-5.41189,104.91183
232,ANGKLUNG,17TG01L1015197,F.ANGKLUNG.000659,FCO PU177,-5.41224,104.91180
233,ANGKLUNG,17TG01L1015218,F.ANGKLUNG.000660,FCO PU177,-5.41265,104.91176
234,ANGKLUNG,17TG01L1015219,F.ANGKLUNG.000661,FCO PU177,-5.41297,104.91173
235,ANGKLUNG,17TG01L1015220,F.ANGKLUNG.000662,FCO PU177,-5.41325,104.91170
236,ANGKLUNG,17TG01L1015221,F.ANGKLUNG.000663,FCO PU177,-5.41352,104.91167
237,ANGKLUNG,17TG01L1015222,F.ANGKLUNG.000664,FCO PU177,-5.41395,104.91164
238,ANGKLUNG,17TG01L1015223,F.ANGKLUNG.000665,FCO PU177,-5.41402,104.91130
239,ANGKLUNG,17TG01L1015224,F.ANGKLUNG.000666,FCO PU177,-5.41408,104.91079
240,ANGKLUNG,17TG01L1015225,F.ANGKLUNG.000667,FCO PU177,-5.41413,104.91032
241,ANGKLUNG,17TG01L1015226,F.ANGKLUNG.000668,FCO PU177,-5.41412,104.90982
242,ANGKLUNG,17TG01L1015227,F.ANGKLUNG.000669,FCO PU177,-5.41409,104.90937
243,ANGKLUNG,17TG01L1015228,F.ANGKLUNG.000670,FCO PU177,-5.41405,104.90885
244,ANGKLUNG,17TG0125002129,F.ANGKLUNG.000318,FCO SUMBER AGUNG,-5.41357,104.93013
245,ANGKLUNG,17TG0125002130,F.ANGKLUNG.000319,FCO SUMBER AGUNG,-5.41354,104.92964
246,ANGKLUNG,17TG0125002131,F.ANGKLUNG.000320,FCO SUMBER AGUNG,-5.41353,104.92919
247,ANGKLUNG,17TG0125002132,F.ANGKLUNG.000321,FCO SUMBER AGUNG,-5.41351,104.92874
248,ANGKLUNG,17TG0125002133,F.ANGKLUNG.000322,FCO SUMBER AGUNG,-5.41349,104.92830
249,ANGKLUNG,17TG0125002134,F.ANGKLUNG.000323,FCO SUMBER AGUNG,-5.41349,104.92788
250,ANGKLUNG,17TG0125002135,F.ANGKLUNG.000324,FCO SUMBER AGUNG,-5.41347,104.92743
251,ANGKLUNG,17TG0125002136,F.ANGKLUNG.000325,FCO SUMBER AGUNG,-5.41346,104.92698
252,ANGKLUNG,17TG0125002137,F.ANGKLUNG.000326,FCO SUMBER AGUNG,-5.41344,104.92653
253,ANGKLUNG,17TG0125002138,F.ANGKLUNG.000327,FCO SUMBER AGUNG,-5.41341,104.92607
254,ANGKLUNG,17TG0125002139,F.ANGKLUNG.000328,FCO SUMBER AGUNG,-5.41339,104.92563
255,ANGKLUNG,17TG0125002140,F.ANGKLUNG.000329,FCO SUMBER AGUNG,-5.41336,104.92517
256,ANGKLUNG,17TG0125002141,F.ANGKLUNG.000330,FCO SUMBER AGUNG,-5.41336,104.92476
257,ANGKLUNG,17TG0125002142,F.ANGKLUNG.000331,FCO SUMBER AGUNG,-5.41334,104.92433
258,ANGKLUNG,17TG0125002143,F.ANGKLUNG.000332,FCO SUMBER AGUNG,-5.41331,104.92389
259,ANGKLUNG,17TG0125002144,F.ANGKLUNG.000333,FCO SUMBER AGUNG,-5.41329,104.92344
260,ANGKLUNG,17TG0125002145,F.ANGKLUNG.000334,FCO SUMBER AGUNG,-5.41327,104.92301
261,ANGKLUNG,17TG0125002146,F.ANGKLUNG.000335,FCO SUMBER AGUNG,-5.41325,104.92266
262,ANGKLUNG,17TG0125002147,F.ANGKLUNG.000336,FCO SUMBER AGUNG,-5.41322,104.92225
263,ANGKLUNG,17TG0125002148,F.ANGKLUNG.000337,FCO SUMBER AGUNG,-5.41320,104.92184
264,ANGKLUNG,17TG0125002149,F.ANGKLUNG.000338,FCO SUMBER AGUNG,-5.41317,104.92154
265,ANGKLUNG,17TG0125002150,F.ANGKLUNG.000339,FCO SUMBER AGUNG,-5.41317,104.92112
266,ANGKLUNG,17TG0125002151,F.ANGKLUNG.000340,FCO SUMBER AGUNG,-5.41314,104.92079
267,ANGKLUNG,17TG0125002152,F.ANGKLUNG.000341,FCO SUMBER AGUNG,-5.41307,104.92033
268,ANGKLUNG,17TG0125002153,F.ANGKLUNG.000342,FCO SUMBER AGUNG,-5.41309,104.92000
269,ANGKLUNG,17TG0125002154,F.ANGKLUNG.000343,FCO SUMBER AGUNG,-5.41303,104.91961
270,ANGKLUNG,17TG0125002155,F.ANGKLUNG.000344,FCO SUMBER AGUNG,-5.41291,104.91927
271,ANGKLUNG,17TG0125002156,F.ANGKLUNG.000345,FCO SUMBER AGUNG,-5.41279,104.91892
272,ANGKLUNG,17TG0125002157,F.ANGKLUNG.000346,FCO SUMBER AGUNG,-5.41263,104.91839
273,ANGKLUNG,17TG0125002158,F.ANGKLUNG.000347,FCO SUMBER AGUNG,-5.41250,104.91796
274,ANGKLUNG,17TG0125002159,F.ANGKLUNG.000348,FCO SUMBER AGUNG,-5.41238,104.91753
275,ANGKLUNG,17TG0125002160,F.ANGKLUNG.000349,FCO SUMBER AGUNG,-5.41218,104.91711
276,ANGKLUNG,17TG0125002161,F.ANGKLUNG.000350,FCO SUMBER AGUNG,-5.41171,104.91685
277,ANGKLUNG,17TG0125002162,F.ANGKLUNG.000351,FCO SUMBER AGUNG,-5.41155,104.91648
278,ANGKLUNG,17TG0125002163,F.ANGKLUNG.000352,FCO SUMBER AGUNG,-5.41139,104.91607
279,ANGKLUNG,17TG0125002164,F.ANGKLUNG.000353,FCO SUMBER AGUNG,-5.41122,104.91565
280,ANGKLUNG,17TG0125002165,F.ANGKLUNG.000354,FCO SUMBER AGUNG,-5.41107,104.91523
281,ANGKLUNG,17TG0125002166,F.ANGKLUNG.000355,FCO SUMBER AGUNG,-5.41097,104.91479
282,ANGKLUNG,17TG0125002167,F.ANGKLUNG.000356,FCO SUMBER AGUNG,-5.41088,104.91436
283,ANGKLUNG,17TG0125002168,F.ANGKLUNG.000357,FCO SUMBER AGUNG,-5.41081,104.91392
284,ANGKLUNG,17TG0125002169,F.ANGKLUNG.000358,FCO SUMBER AGUNG,-5.41075,104.91347
285,ANGKLUNG,17TG0125002170,F.ANGKLUNG.000359,FCO SUMBER AGUNG,-5.41066,104.91294
286,ANGKLUNG,17TG0125002188,F.ANGKLUNG.000377,FCO SUMBER AGUNG,-5.41328,104.92046
287,ANGKLUNG,17TG0125001966,F.ANGKLUNG.000155,LBSM AMBARAWA,-5.40541,104.96008
288,ANGKLUNG,17TG0125001967,F.ANGKLUNG.000156,LBSM AMBARAWA,-5.40601,104.96012
289,ANGKLUNG,17TG0125001968,F.ANGKLUNG.000157,LBSM AMBARAWA,-5.40669,104.96010
290,ANGKLUNG,17TG0125001969,F.ANGKLUNG.000158,LBSM AMBARAWA,-5.40732,104.96013
291,ANGKLUNG,17TG0125001970,F.ANGKLUNG.000159,LBSM AMBARAWA,-5.40752,104.96017
292,ANGKLUNG,17TG0125001971,F.ANGKLUNG.000160,LBSM AMBARAWA,-5.40792,104.96016
293,ANGKLUNG,17TG0125001972,F.ANGKLUNG.000161,LBSM AMBARAWA,-5.40857,104.96018
294,ANGKLUNG,17TG0125001973,F.ANGKLUNG.000162,LBSM AMBARAWA,-5.40916,104.96020
295,ANGKLUNG,17TG0125001974,F.ANGKLUNG.000163,LBSM AMBARAWA,-5.40985,104.96022
296,ANGKLUNG,17TG0125001975,F.ANGKLUNG.000164,LBSM AMBARAWA,-5.41047,104.96025
297,ANGKLUNG,17TG0125001976,F.ANGKLUNG.000165,LBSM AMBARAWA,-5.41107,104.96030
298,ANGKLUNG,17TG0125001977,F.ANGKLUNG.000166,LBSM AMBARAWA,-5.41119,104.95952
299,ANGKLUNG,17TG0125001978,F.ANGKLUNG.000167,LBSM AMBARAWA,-5.41128,104.95891
300,ANGKLUNG,17TG0125001979,F.ANGKLUNG.000168,LBSM AMBARAWA,-5.41139,104.95834
301,ANGKLUNG,17TG0125001980,F.ANGKLUNG.000169,LBSM AMBARAWA,-5.41146,104.95774
302,ANGKLUNG,17TG0125001981,F.ANGKLUNG.000170,LBSM AMBARAWA,-5.41158,104.95702
303,ANGKLUNG,17TG0125001982,F.ANGKLUNG.000171,LBSM AMBARAWA,-5.41170,104.95640
304,ANGKLUNG,17TG0125001983,F.ANGKLUNG.000172,LBSM AMBARAWA,-5.41172,104.95581
305,ANGKLUNG,17TG0125001984,F.ANGKLUNG.000173,LBSM AMBARAWA,-5.41178,104.95510
306,ANGKLUNG,17TG0125001985,F.ANGKLUNG.000174,LBSM AMBARAWA,-5.41179,104.95445
307,ANGKLUNG,17TG0125001986,F.ANGKLUNG.000175,LBSM AMBARAWA,-5.41184,104.95384
308,ANGKLUNG,17TG0125001987,F.ANGKLUNG.000176,LBSM AMBARAWA,-5.41192,104.95347
309,ANGKLUNG,17TG0125001988,F.ANGKLUNG.000177,LBSM AMBARAWA,-5.41191,104.95315
310,ANGKLUNG,17TG0125001989,F.ANGKLUNG.000178,LBSM AMBARAWA,-5.41202,104.95261
311,ANGKLUNG,17TG0125001990,F.ANGKLUNG.000179,LBSM AMBARAWA,-5.41227,104.95189
312,ANGKLUNG,17TG0125001991,F.ANGKLUNG.000180,LBSM AMBARAWA,-5.41255,104.95134
313,ANGKLUNG,17TG0125001992,F.ANGKLUNG.000181,LBSM AMBARAWA,-5.41284,104.95079
314,ANGKLUNG,17TG0125001993,F.ANGKLUNG.000182,LBSM AMBARAWA,-5.41314,104.95027
315,ANGKLUNG,17TG0125002097,F.ANGKLUNG.000286,LBSM AMBARAWA,-5.41336,104.94959
316,ANGKLUNG,17TG0125002098,F.ANGKLUNG.000287,LBSM AMBARAWA,-5.41345,104.94898
317,ANGKLUNG,17TG0125002099,F.ANGKLUNG.000288,LBSM AMBARAWA,-5.41358,104.94837
318,ANGKLUNG,17TG0125002100,F.ANGKLUNG.000289,LBSM AMBARAWA,-5.41370,104.94776
319,ANGKLUNG,17TG0125002101,F.ANGKLUNG.000290,LBSM AMBARAWA,-5.41382,104.94714
320,ANGKLUNG,17TG0125002102,F.ANGKLUNG.000291,LBSM AMBARAWA,-5.41388,104.94650
321,ANGKLUNG,17TG0125002103,F.ANGKLUNG.000292,LBSM AMBARAWA,-5.41395,104.94586
322,ANGKLUNG,17TG0125002104,F.ANGKLUNG.000293,LBSM AMBARAWA,-5.41400,104.94523
323,ANGKLUNG,17TG0125002105,F.ANGKLUNG.000294,LBSM AMBARAWA,-5.41406,104.94461
324,ANGKLUNG,17TG0125002106,F.ANGKLUNG.000295,LBSM AMBARAWA,-5.41410,104.94392
325,ANGKLUNG,17TG0125002107,F.ANGKLUNG.000296,LBSM AMBARAWA,-5.41413,104.94328
326,ANGKLUNG,17TG0125002108,F.ANGKLUNG.000297,LBSM AMBARAWA,-5.41415,104.94266
327,ANGKLUNG,17TG0125002109,F.ANGKLUNG.000298,LBSM AMBARAWA,-5.41418,104.94205
328,ANGKLUNG,17TG0125002110,F.ANGKLUNG.000299,LBSM AMBARAWA,-5.41419,104.94139
329,ANGKLUNG,17TG0125002111,F.ANGKLUNG.000300,LBSM AMBARAWA,-5.41419,104.94081
330,ANGKLUNG,17TG0125002112,F.ANGKLUNG.000301,LBSM AMBARAWA,-5.41415,104.94019
331,ANGKLUNG,17TG0125002113,F.ANGKLUNG.000302,LBSM AMBARAWA,-5.41412,104.93950
332,ANGKLUNG,17TG0125002114,F.ANGKLUNG.000303,LBSM AMBARAWA,-5.41418,104.93889
333,ANGKLUNG,17TG0125002115,F.ANGKLUNG.000304,LBSM AMBARAWA,-5.41421,104.93830
334,ANGKLUNG,17TG0125002116,F.ANGKLUNG.000305,LBSM AMBARAWA,-5.41423,104.93706
335,ANGKLUNG,17TG0125002117,F.ANGKLUNG.000306,LBSM AMBARAWA,-5.41410,104.93640
336,ANGKLUNG,17TG0125002118,F.ANGKLUNG.000307,LBSM AMBARAWA,-5.41398,104.93577
337,ANGKLUNG,17TG0125002119,F.ANGKLUNG.000308,LBSM AMBARAWA,-5.41397,104.93515
338,ANGKLUNG,17TG0125002120,F.ANGKLUNG.000309,LBSM AMBARAWA,-5.41394,104.93452
339,ANGKLUNG,17TG0125002121,F.ANGKLUNG.000310,LBSM AMBARAWA,-5.41387,104.93389
340,ANGKLUNG,17TG0125002122,F.ANGKLUNG.000311,LBSM AMBARAWA,-5.41386,104.93325
341,ANGKLUNG,17TG0125002123,F.ANGKLUNG.000312,LBSM AMBARAWA,-5.41381,104.93283
342,ANGKLUNG,17TG0125002124,F.ANGKLUNG.000313,LBSM AMBARAWA,-5.41378,104.93238
343,ANGKLUNG,17TG0125002125,F.ANGKLUNG.000314,LBSM AMBARAWA,-5.41373,104.93198
344,ANGKLUNG,17TG0125002126,F.ANGKLUNG.000315,LBSM AMBARAWA,-5.41370,104.93155
345,ANGKLUNG,17TG0125002127,F.ANGKLUNG.000316,LBSM AMBARAWA,-5.41365,104.93109
346,ANGKLUNG,17TG0125002128,F.ANGKLUNG.000317,LBSM AMBARAWA,-5.41359,104.93072
347,ANGKLUNG,17TG01L1014194,F.ANGKLUNG.000612,LBSM AMBARAWA,-5.40608,104.95965
348,ANGKLUNG,17TG01L1014195,F.ANGKLUNG.000613,LBSM AMBARAWA,-5.40610,104.95916
349,ANGKLUNG,17TG01L1014196,F.ANGKLUNG.000614,LBSM AMBARAWA,-5.40611,104.95872
350,ANGKLUNG,17TG01L1014197,F.ANGKLUNG.000615,LBSM AMBARAWA,-5.40613,104.95831
351,ANGKLUNG,17TG01L1014198,F.ANGKLUNG.000616,LBSM AMBARAWA,-5.40614,104.95794
352,ANGKLUNG,17TG01L1014199,F.ANGKLUNG.000617,LBSM AMBARAWA,-5.40617,104.95752
353,ANGKLUNG,17TG01L1014200,F.ANGKLUNG.000618,LBSM AMBARAWA,-5.40618,104.95705
354,ANGKLUNG,17TG01L1014201,F.ANGKLUNG.000619,LBSM AMBARAWA,-5.40621,104.95659
355,ANGKLUNG,17TG01L1014202,F.ANGKLUNG.000620,LBSM AMBARAWA,-5.40624,104.95609
356,ANGKLUNG,17TG01L1014203,F.ANGKLUNG.000621,LBSM AMBARAWA,-5.40627,104.95562
357,ANGKLUNG,17TG01L1014204,F.ANGKLUNG.000622,LBSM AMBARAWA,-5.40631,104.95511
358,ANGKLUNG,17TG01L1014205,F.ANGKLUNG.000623,LBSM AMBARAWA,-5.40650,104.95473
359,ANGKLUNG,17TG01L1014206,F.ANGKLUNG.000624,LBSM AMBARAWA,-5.40650,104.95431
360,ANGKLUNG,17TG01L1014207,F.ANGKLUNG.000625,LBSM AMBARAWA,-5.40651,104.95379
361,ANGKLUNG,17TG0124004459,F.GENDANG.000132,LBSM AMBARAWA,-5.41423,104.93755
362,ANGKLUNG,17TG0125002253,F.ANGKLUNG.000442,PMT ANGKLUNG,-5.36722,104.93805
363,ANGKLUNG,17TG0125002254,F.ANGKLUNG.000443,FCO SUMBER AGUNG,-5.41219,104.91724
364,ANGKLUNG,17TG0125002255,F.ANGKLUNG.000444,FCO SUMBER AGUNG,-5.41198,104.91761
365,ANGKLUNG,17TG0125002256,F.ANGKLUNG.000445,FCO SUMBER AGUNG,-5.41175,104.91801
366,ANGKLUNG,17TG0125002257,F.ANGKLUNG.000446,FCO SUMBER AGUNG,-5.41146,104.91849
367,ANGKLUNG,17TG0125002258,F.ANGKLUNG.000447,FCO SUMBER AGUNG,-5.41120,104.91892
368,ANGKLUNG,17TG0125002259,F.ANGKLUNG.000448,FCO SUMBER AGUNG,-5.41093,104.91942
369,ANGKLUNG,17TG0125002260,F.ANGKLUNG.000449,FCO SUMBER AGUNG,-5.41055,104.91975
370,ANGKLUNG,17TG0125002261,F.ANGKLUNG.000450,FCO SUMBER AGUNG,-5.41023,104.91993
371,ANGKLUNG,17TG0125002262,F.ANGKLUNG.000451,FCO SUMBER AGUNG,-5.40972,104.92005
372,ANGKLUNG,17TG0125002263,F.ANGKLUNG.000452,FCO SUMBER AGUNG,-5.40923,104.91999
373,ANGKLUNG,17TG0125002264,F.ANGKLUNG.000453,FCO SUMBER AGUNG,-5.40888,104.91995
374,ANGKLUNG,17TG0125002265,F.ANGKLUNG.000454,FCO SUMBER AGUNG,-5.40843,104.91987
375,ANGKLUNG,17TG0125002266,F.ANGKLUNG.000455,FCO SUMBER AGUNG,-5.40841,104.91987
376,ANGKLUNG,17TG0125002267,F.ANGKLUNG.000456,FCO SUMBER AGUNG,-5.40799,104.91988
377,ANGKLUNG,17TG0125002268,F.ANGKLUNG.000457,FCO SUMBER AGUNG,-5.40754,104.91998
378,ANGKLUNG,17TG0125002269,F.ANGKLUNG.000458,FCO PU026 KRAWANG,-5.40987,104.97260
379,ANGKLUNG,17TG0125002270,F.ANGKLUNG.000459,FCO PU026 KRAWANG,-5.40979,104.97304
380,ANGKLUNG,17TG0125002271,F.ANGKLUNG.000460,FCO PU026 KRAWANG,-5.40972,104.97355
381,ANGKLUNG,17TG0125002272,F.ANGKLUNG.000461,FCO PU026 KRAWANG,-5.40975,104.97390
382,ANGKLUNG,17TG0125002273,F.ANGKLUNG.000462,FCO PU026 KRAWANG,-5.41018,104.97412
383,ANGKLUNG,17TG0125002275,F.ANGKLUNG.000464,PMT ANGKLUNG,-5.39844,104.96063
384,ANGKLUNG,17TG0125002276,F.ANGKLUNG.000465,PMT ANGKLUNG,-5.39851,104.96094
385,ANGKLUNG,17TG0125002277,F.ANGKLUNG.000466,PMT ANGKLUNG,-5.39860,104.96138
386,ANGKLUNG,17TG0125002278,F.ANGKLUNG.000467,PMT ANGKLUNG,-5.39857,104.96169
387,ANGKLUNG,17TG0125002279,F.ANGKLUNG.000468,PMT ANGKLUNG,-5.39863,104.96232
388,ANGKLUNG,17TG0125002280,F.ANGKLUNG.000469,PMT ANGKLUNG,-5.42342,104.92039
389,ANGKLUNG,17TG0125002281,F.ANGKLUNG.000470,PMT ANGKLUNG,-5.42332,104.92092
390,ANGKLUNG,17TG0125002282,F.ANGKLUNG.000471,PMT ANGKLUNG,-5.42278,104.92084
391,ANGKLUNG,17TG0125002283,F.ANGKLUNG.000472,PMT ANGKLUNG,-5.42233,104.92078
392,ANGKLUNG,17TG0125002284,F.ANGKLUNG.000473,PMT ANGKLUNG,-5.42170,104.92069
393,ANGKLUNG,17TG0125002285,F.ANGKLUNG.000474,PMT ANGKLUNG,-5.42125,104.92060
394,ANGKLUNG,17TG0125002286,F.ANGKLUNG.000475,PMT ANGKLUNG,-5.42083,104.92052
395,ANGKLUNG,17TG0125002287,F.ANGKLUNG.000476,PMT ANGKLUNG,-5.42033,104.92046
396,ANGKLUNG,17TG0125002288,F.ANGKLUNG.000477,PMT ANGKLUNG,-5.41988,104.92041
397,ANGKLUNG,17TG0125002289,F.ANGKLUNG.000478,PMT ANGKLUNG,-5.42399,104.91531
